 written on 15Feb2017 at 12:54:31 
          10
         267
    2    1    2    2    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    1    1    1    3    1    1    1    1    2
    1    1    1    1    1    2    1    1    1    1    1    1    2    1    1
    1    1    1    2    2    1    1    1    1    2    3    2    2    2    1
    2    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    2    1    1    1    1    1
    1    2    1    1    1    2    2    1    2    2    1    1    2    1    1
    1    1    1    2    1    1    1    1    1    1    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    2    2    1    2    2    1    1    1    2    1    1    1    1
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    2    1    2    2
    2    3    2    1    1    1    1    2    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1
    1    1    3    1    1    1    2    2    6    2    2    2    2    2    6
    2    1    1    1    1    2    2    1    1    1    2    2    1    1    2
    2    1    2    2    2    6    3    2    2    2    1    2
   -4    0    2    1    1    0.004661   -0.000000
   -4    0    2    2    1    0.000000    0.000000
   -4    0    2    3    1    0.000000    0.000000
   -4    0    2    4    1    0.000000    0.000000
   -4    0    2    5    1    0.000000    0.000000
   -4    0    2    6    1    0.000000    0.000000
   -4    0    2    7    1    0.000000    0.000000
   -4    0    2    8    1    0.000000    0.000000
   -4    0    2    9    1    0.000000    0.000000
   -4    0    2   10    1    0.000000    0.000000
   -4    0    2    1    2    0.000000    0.000000
   -4    0    2    2    2    0.004661   -0.000000
   -4    0    2    3    2    0.000000    0.000000
   -4    0    2    4    2    0.000000    0.000000
   -4    0    2    5    2    0.000000    0.000000
   -4    0    2    6    2    0.000000    0.000000
   -4    0    2    7    2    0.000000    0.000000
   -4    0    2    8    2    0.000000    0.000000
   -4    0    2    9    2    0.000000    0.000000
   -4    0    2   10    2    0.000000    0.000000
   -4    0    2    1    3    0.000000    0.000000
   -4    0    2    2    3    0.000000    0.000000
   -4    0    2    3    3   -0.004677    0.000000
   -4    0    2    4    3    0.000000    0.000000
   -4    0    2    5    3    0.000000    0.000000
   -4    0    2    6    3    0.000000    0.000000
   -4    0    2    7    3    0.000000    0.000000
   -4    0    2    8    3    0.000000    0.000000
   -4    0    2    9    3    0.000000    0.000000
   -4    0    2   10    3    0.000000    0.000000
   -4    0    2    1    4    0.000000    0.000000
   -4    0    2    2    4    0.000000    0.000000
   -4    0    2    3    4    0.000000    0.000000
   -4    0    2    4    4   -0.004677    0.000000
   -4    0    2    5    4    0.000000    0.000000
   -4    0    2    6    4    0.000000    0.000000
   -4    0    2    7    4    0.000000    0.000000
   -4    0    2    8    4    0.000000    0.000000
   -4    0    2    9    4    0.000000    0.000000
   -4    0    2   10    4    0.000000    0.000000
   -4    0    2    1    5    0.000000    0.000000
   -4    0    2    2    5    0.000000    0.000000
   -4    0    2    3    5    0.000000    0.000000
   -4    0    2    4    5    0.000000    0.000000
   -4    0    2    5    5    0.016785    0.000000
   -4    0    2    6    5    0.000000    0.000000
   -4    0    2    7    5    0.000000    0.000000
   -4    0    2    8    5    0.000000    0.000000
   -4    0    2    9    5    0.000000    0.000000
   -4    0    2   10    5    0.000000    0.000000
   -4    0    2    1    6    0.000000    0.000000
   -4    0    2    2    6    0.000000    0.000000
   -4    0    2    3    6    0.000000    0.000000
   -4    0    2    4    6    0.000000    0.000000
   -4    0    2    5    6    0.000000    0.000000
   -4    0    2    6    6    0.016785    0.000000
   -4    0    2    7    6    0.000000    0.000000
   -4    0    2    8    6    0.000000    0.000000
   -4    0    2    9    6    0.000000    0.000000
   -4    0    2   10    6    0.000000    0.000000
   -4    0    2    1    7    0.000000    0.000000
   -4    0    2    2    7    0.000000    0.000000
   -4    0    2    3    7    0.000000    0.000000
   -4    0    2    4    7    0.000000    0.000000
